C45,RandF,RandF500,TunedC45
-7.0E-4,-0.0032,-0.11705,-1.0E-4
-2.0E-4,-0.0042,-0.129,-1.0E-4
-3.0E-4,-0.0061,-0.1778,-1.0E-4
-2.0E-4,-0.0042,-0.1851,-1.0E-4
-6.0E-4,-0.0059,-0.14805,-1.0E-4
-0.0019,-0.0361,-0.0939,-2.0E-4
-0.0029,-0.0126,-0.0723,-2.0E-4
-0.0034,-0.0121,-0.1108,-2.0E-4
-0.0036,-0.0027,-0.0652,-1.0E-4
-0.0019,-0.0026,-0.0961,-2.0E-4
-5.0E-4,-0.002,-0.1903,-1.0E-4
-3.0E-4,-0.0026,-0.4681,-1.0E-4
-8.0E-4,-0.003,-0.1651,-1.0E-4
-4.0E-4,-0.0026,-0.1374,-1.0E-4
-3.0E-4,-0.0028,-0.1318,-1.0E-4
-5.0E-4,-0.0024,-0.0896,-1.0E-4
-6.0E-4,-0.0017,-0.0861,-1.0E-4
-8.0E-4,-0.0016,-0.0972,-1.0E-4
-0.0011,-0.0017,-0.0878,-1.0E-4
-4.0E-4,-0.0028,-0.0889,-1.0E-4
-4.0E-4,-0.0024,-0.0539,-1.0E-4
-3.0E-4,-0.0035,-0.0616,-1.0E-4
-4.0E-4,-0.0017,-0.0574,-1.0E-4
-2.0E-4,-0.0016,-0.0572,-1.0E-4
-5.0E-4,-0.0026,-0.05705,-1.0E-4
-2.0E-4,-0.002,-0.0446,-1.0E-4
-5.0E-4,-0.002,-0.0459,-1.0E-4
-3.0E-4,-0.0029,-0.041,-1.0E-4
-7.0E-4,-8.0E-4,-0.0379,-1.0E-4
-4.0E-4,-0.001,-0.0377,-1.0E-4
